,A64871,A42581,A53291,A64751,B75181,B75381,B75571,B76621,B76951,B86124,C75731,C94001,C95251,D05481,D05960,D87692,D87811,D96591,D96681,E04891,E05363,E14272,E95451,E95681,E95902,F20791,F38961,F47691,G12092,G12581,G13211,G13231,G13592,G13651,G22581,H22862,H31352,H31562,H31971,H32412,H32552,H32561,H32641,H32791,H40041,H40182,H41421,H41701,I50212,I50771,I50852,I58061,I59161,I59234,I59361,I68093,A53651,H22871
lat,-36.853,-34.508,-35.23,-36.766,-37.172,-37.394,-37.547,-37.67242,-37.904,-38.164,-37.78,-39.071,-39.202,-40.455,-40.967,-38.661,-38.801,-39.498459999999994,-39.633,-40.85463,-40.382,-41.286,-39.476,-39.663000000000004,-39.93704,-42.722,-43.983000000000004,-44.673840000000006,-41.067,-41.548,-41.293,-41.275,-41.511,-41.665,-42.522,-42.833,-43.365,-43.545,-43.89658,-43.493,-43.549,-43.531000000000006,-43.648,-43.762,-44.001999999999995,-44.105,-44.411,-44.74100000000001,-45.239,-45.777,-45.86,-45.03476,-45.10611,-45.258,-45.363,-46.09,-35.653,-42.86600000000001
lon,174.767,172.795,173.94799999999998,174.579,175.85299999999998,175.84099999999998,175.71599999999998,176.19635,176.50799999999998,176.263,175.313,174.082,175.54,175.81099999999998,175.65,177.986,177.122,176.91189,176.845,174.93163,175.609,174.767,175.514,175.84099999999998,175.04509,170.963,168.61700000000002,167.92406,172.983,172.88299999999998,173.09900000000002,173.295,173.954,173.575,172.854,172.683,171.52900000000002,171.699,171.7472,172.137,172.544,172.61900000000003,172.463,172.925,170.44099999999997,170.824,171.25,171.03599999999997,170.145,170.72799999999998,170.52200000000002,168.66364,169.61056000000002,169.389,169.606,168.954,173.558,172.74900000000002
